Node ID,X,Y
N1,124.2400786,8.2295733
N2,124.2389356,8.2297181
N3,124.2592601,8.2465739
N4,124.2366591,8.2284046
N5,124.2367627,8.2291664
N6,124.2166298,8.2084837
N7,124.2451671,8.2122106
N8,124.2403393,8.2278829
N9,124.2490797,8.2264572
N10,124.2389157,8.227251
N11,124.2450332,8.2270977
N12,124.2377482,8.2298685
N13,124.2401431,8.2300361
N14,124.250409,8.2262449
N15,124.2448468,8.2261467
N16,124.2618699,8.2411036
N17,124.2387998,8.2159716
N18,124.2375022,8.2274926
N19,124.2405859,8.229509
N20,124.2448461,8.2397015
N21,124.241765,8.23321
N22,124.2368759,8.2299819
N23,124.2406556,8.2299815
N24,124.2369771,8.2059127
N25,124.2489103,8.2253985
N26,124.2386019,8.2272995
N27,124.2476171,8.2117737
N28,124.2498793,8.2113271
N29,124.239656,8.2312555
N30,124.2411995,8.2325036
N31,124.238621,8.2305878
N32,124.2412755,8.2219482
N33,124.2388258,8.2288651
N34,124.2407252,8.232168
N35,124.2417335,8.2203098
N36,124.2496888,8.2385382
N37,124.2419293,8.2191935
N38,124.2370167,8.2310139
N39,124.2347164,8.231178
N40,124.2495265,8.2299017
N41,124.2495982,8.2306357
N42,124.2593845,8.2463853
N43,124.2402311,8.227045
N44,124.2586323,8.2461249
N45,124.2554891,8.2264998
N46,124.2380413,8.2357603
N47,124.2559518,8.2235943
N48,124.2390237,8.2351928
N49,124.2512606,8.2431166
N50,124.2525181,8.2351223
N51,124.2399296,8.2287039
N52,124.2639698,8.2503794
N53,124.2404529,8.2286275
N54,124.2641823,8.253712
N55,124.2452356,8.227981
N56,124.2408239,8.2142038
N57,124.2492057,8.2274851
N58,124.2568401,8.2328095
N59,124.2477603,8.2062572
N60,124.2410464,8.2320349
N61,124.2444456,8.2147843
N62,124.2597773,8.2235492
N63,124.2595446,8.2206171
N64,124.241879,8.2190267
N65,124.2508583,8.2370398
N66,124.2393623,8.2301193
N67,124.2393056,8.2296712
N68,124.2627217,8.2450198
N69,124.2391687,8.228815
N70,124.2376154,8.2282956
N71,124.2387132,8.2281293
N72,124.2509119,8.247673
N73,124.2628083,8.2447041
N74,124.2390491,8.2280784
N75,124.2429981,8.2451201
N76,124.2481433,8.2420227
N77,124.2398144,8.2279624
N78,124.2481888,8.241899
N79,124.239719,8.2271173
N80,124.2346835,8.2312254
N81,124.234475,8.2294993
N82,124.2346453,8.2310973
N83,124.2565313,8.2452046
N84,124.2506906,8.2273891
N85,124.2577898,8.2580912
N86,124.2345866,8.2311991
N87,124.2376807,8.2290323
