name,highway,maxspeed,oneway,lanes,Edge ID,Length (km),Start Node ,End Node,Direction
Roxas Avenue,trunk,60,,4,E1,0.584,N32,N43,Bidirectional
Brother Raymund Jeffrey Road,tertiary,,,2,E2,0.703,N32,N15,Bidirectional
Brother Raymund Jeffrey Road,tertiary,,,2,E3,0.107,N15,N11,Bidirectional
Brother Raymund Jeffrey Road,tertiary,,,2,E4,0.1,N11,N55,Bidirectional
Andres Bonifacio Avenue,trunk,60,,4,E5,1.48,N3,N85,Bidirectional
Andres Bonifacio Avenue,trunk,60,,4,E6,0.085,N44,N3,Bidirectional
Andres Bonifacio Avenue,trunk,60,,4,E7,0.253,N83,N44,Bidirectional
Salvador T. Lluch Street,tertiary,,,,E8,0.094,N79,N77,Bidirectional
Salvador T. Lluch Street,tertiary,,,,E9,0.083,N77,N51,Bidirectional
Miguel Obach Street,tertiary,,no,,E10,0.05,N67,N66,Bidirectional
Miguel Obach Street,tertiary,,no,,E11,0.096,N69,N67,Bidirectional
Miguel Obach Street,tertiary,,no,,E12,0.083,N74,N69,Bidirectional
Miguel Obach Street,tertiary,,no,,E13,0.093,N10,N74,Bidirectional
M. Actub Street,tertiary,,no,,E14,0.132,N2,N12,Bidirectional
M. Actub Street,tertiary,,no,,E15,0.041,N67,N2,Bidirectional
M. Actub Street,tertiary,,no,,E16,0.086,N1,N67,Bidirectional
M. Actub Street,tertiary,,no,,E17,0.056,N19,N1,Bidirectional
Consunji Street,tertiary,,no,,E18,0.084,N2,N66,Bidirectional
Consunji Street,tertiary,,no,,E19,0.087,N13,N66,Bidirectional
Consunji Street,tertiary,,no,,E20,0.057,N23,N13,Bidirectional
A. Rigodon Street,tertiary,,,,E21,1.603,N23,N55,Bidirectional
Benito Labao Street Extension,tertiary,,no,,E22,0.526,N38,N48,Bidirectional
Benito Labao Street Extension,tertiary,,no,,E23,0.115,N22,N38,Bidirectional
Benito Labao Street Extension,tertiary,,no,,E24,0.091,N5,N22,Bidirectional
Benito Labao Street Extension,tertiary,,no,,E25,0.085,N4,N5,Bidirectional
Quezon Avenue,tertiary,,no,,E26,0.412,N81,N86,Bidirectional
Tomas Cabili Avenue,tertiary,,no,6,E27,1.196,N46,N75,Bidirectional
Tomas Cabili Avenue,tertiary,,no,6,E28,0.634,N80,N46,Bidirectional
