,N1,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N2,N20,N21,N22,N23,N24,N25,N26,N27,N28,N29,N3,N30,N31,N32,N33,N34,N35,N36,N37,N38,N39,N4,N40,N41,N42,N43,N44,N45,N46,N47,N48,N49,N5,N50,N51,N52,N53,N54,N55,N56,N57,N58,N59,N6,N60,N61,N62,N63,N64,N65,N66,N67,N68,N69,N7,N70,N71,N72,N73,N74,N75,N76,N77,N78,N79,N8,N80,N81,N82,N83,N84,N85,N86,N87,N9
N1,0,0.358,0.762,0.259,0.052,1.361,0.849,3.829,1.7269999999999999,0.514,0.056,0.127,1.294,0.495,0.356,0.109,3.181,1.304,0.393,2.4090000000000003,2.668,0.208,3.0740000000000003,0.395,0.344,0.9149999999999999,0.22,0.363,1.103,1.861,1.229,0.471,0.725,0.53,1.3980000000000001,1.5230000000000001,3.0770000000000004,0.33099999999999996,2.9890000000000003,1.8330000000000002,0.995,2.161,0.87,2.111,0.44699999999999995,2.173,0.098,3.7610000000000006,0.155,4.133000000000001,0.687,2.025,1.1280000000000001,2.716,2.83,4.345,0.34,1.815,2.618,2.717,1.2469999999999999,2.071,0.136,0.086,3.4800000000000004,0.182,2.112,0.424,0.302,2.461,3.5160000000000005,0.265,2.191,1.762,0.181,1.747,0.275,0.238,0.732,0.702,0.738,2.736,1.292,4.554,0.744,0.348,1.213
N10,0.358,0,0.76,0.42300000000000004,0.40900000000000003,1.359,0.665,3.993,1.543,0.158,0.414,0.30500000000000005,1.6510000000000002,0.8520000000000001,0.52,0.466,2.997,1.12,0.035,2.2249999999999996,2.4839999999999995,0.5650000000000001,3.431,0.7520000000000001,0.554,0.731,0.21000000000000002,0.7200000000000001,0.919,2.218,1.045,0.635,0.878,0.354,1.562,1.687,3.434,0.147,3.346,1.9969999999999999,1.286,2.3249999999999997,1.161,2.468,0.432,2.3369999999999997,0.261,4.118,0.319,4.49,0.851,1.841,1.292,2.88,2.646,4.161,0.6970000000000001,1.6309999999999998,2.7819999999999996,2.881,1.063,2.41,0.322,0.272,3.8369999999999997,0.176,1.9279999999999997,0.248,0.128,2.818,3.8729999999999998,0.093,2.482,2.119,0.178,2.104,0.09,0.236,0.885,0.687,0.865,3.093,1.456,4.911,0.88,0.33,1.211
N11,0.762,0.76,0,1.0010000000000001,0.8140000000000001,0.599,0.107,3.242,1.6219999999999999,0.916,0.706,0.881,1.944,1.145,1.098,0.759,3.0759999999999996,0.562,0.795,2.3040000000000003,2.563,0.9700000000000001,3.491,1.045,1.106,0.8099999999999999,0.786,1.03,0.998,1.869,1.124,1.213,1.456,0.932,0.811,0.936,3.494,0.617,3.406,1.246,1.645,1.574,1.52,2.528,1.01,1.586,0.665,4.178,0.607,4.55,0.1,1.92,0.541,2.129,2.725,4.24,0.99,1.71,2.031,2.13,1.142,1.659,0.896,0.846,3.705,0.75,2.007,0.8260000000000001,0.7040000000000001,3.1109999999999998,3.669,0.667,2.841,2.412,0.5820000000000001,2.397,0.674,0.524,1.4629999999999999,1.2650000000000001,1.443,3.153,0.7050000000000001,4.971,1.458,0.908,0.451
N12,0.259,0.42300000000000004,1.001,0,0.30300000000000005,1.5999999999999999,1.088,4.034000000000001,1.9659999999999997,0.265,0.315,0.132,1.3850000000000002,0.5860000000000001,0.097,0.36000000000000004,3.42,1.5430000000000001,0.388,2.648,2.907,0.267,3.1650000000000005,0.48600000000000004,0.131,1.154,0.221,0.42200000000000004,1.3419999999999999,1.9520000000000002,1.468,0.21200000000000002,0.466,0.273,1.645,1.77,3.1680000000000006,0.57,3.0800000000000005,2.08,0.863,2.408,0.738,2.2020000000000004,0.188,2.42,0.34400000000000003,3.8520000000000008,0.402,4.224000000000001,0.934,2.264,1.375,2.963,3.069,4.584,0.462,2.054,2.8649999999999998,2.964,1.4859999999999998,2.1620000000000004,0.21600000000000003,0.17300000000000001,3.5710000000000006,0.259,2.351,0.175,0.297,2.552,3.6070000000000007,0.33399999999999996,2.059,1.8530000000000002,0.419,1.8380000000000003,0.513,0.477,0.47300000000000003,0.443,0.47900000000000004,2.8270000000000004,1.539,4.6450000000000005,0.48500000000000004,0.093,1.452
N13,0.052,0.40900000000000003,0.8140000000000001,0.303,0,1.413,0.901,3.8810000000000002,1.779,0.56,0.108,0.17099999999999999,1.242,0.44300000000000006,0.4,0.057,3.2329999999999997,1.356,0.44100000000000006,2.4610000000000003,2.72,0.156,3.0220000000000002,0.343,0.29200000000000004,0.967,0.266,0.311,1.155,1.809,1.2810000000000001,0.48500000000000004,0.7390000000000001,0.576,1.4500000000000002,1.5750000000000002,3.0250000000000004,0.383,2.9370000000000003,1.8850000000000002,0.9430000000000001,2.213,0.8180000000000001,2.059,0.491,2.225,0.15,3.7090000000000005,0.20700000000000002,4.081,0.7390000000000001,2.077,1.1800000000000002,2.7680000000000002,2.882,4.397,0.28800000000000003,1.867,2.67,2.769,1.299,2.019,0.087,0.137,3.428,0.233,2.164,0.47000000000000003,0.34800000000000003,2.409,3.464,0.316,2.1390000000000002,1.71,0.23299999999999998,1.695,0.32699999999999996,0.29000000000000004,0.7460000000000001,0.746,0.7520000000000001,2.684,1.344,4.502000000000001,0.7580000000000001,0.394,1.2650000000000001
N14,1.361,1.359,0.599,1.5999999999999999,1.413,0,0.706,2.668,2.2209999999999996,1.515,1.305,1.48,2.069,1.744,1.6969999999999998,1.3579999999999999,3.675,0.267,1.394,2.903,3.162,1.569,3.124,1.644,1.705,1.4089999999999998,1.385,1.629,1.5969999999999998,1.502,1.7229999999999999,1.8119999999999998,2.0549999999999997,1.531,0.533,0.658,3.1270000000000002,1.216,3.039,0.672,2.2439999999999998,1.0,2.1189999999999998,2.161,1.609,1.012,1.264,3.742,1.206,4.114,0.699,2.5189999999999997,0.263,1.5550000000000002,3.324,4.8389999999999995,1.589,2.3089999999999997,1.457,1.556,1.7409999999999997,1.292,1.495,1.445,3.1310000000000002,1.349,2.606,1.4249999999999998,1.303,3.2359999999999998,3.095,1.266,3.203,2.537,1.181,2.522,1.273,1.123,2.062,1.8639999999999999,2.042,2.786,0.131,4.604,2.057,1.507,0.148
N15,0.849,0.665,0.107,1.088,0.901,0.7060000000000001,0,3.349,1.515,0.8230000000000001,0.7929999999999999,0.968,2.031,1.232,1.185,0.846,2.969,0.455,0.7000000000000001,2.1969999999999996,2.4559999999999995,1.057,3.598,1.132,1.193,0.703,0.873,1.117,0.891,1.976,1.017,1.3,1.5429999999999997,1.0190000000000001,0.918,1.0430000000000001,3.601,0.518,3.513,1.3530000000000002,1.732,1.6810000000000003,1.607,2.635,1.097,1.693,0.752,4.285,0.694,4.657,0.20700000000000002,1.813,0.648,2.236,2.6179999999999994,4.133,1.077,1.6029999999999998,2.1380000000000003,2.237,1.035,1.766,0.983,0.9329999999999999,3.8120000000000003,0.837,1.8999999999999997,0.913,0.791,3.198,3.7760000000000002,0.754,2.928,2.499,0.669,2.484,0.5750000000000001,0.611,1.5499999999999996,1.3519999999999999,1.5299999999999998,3.26,0.812,5.077999999999999,1.5449999999999997,0.995,0.558
N16,3.829,3.993,3.242,4.034,3.8810000000000002,2.668,3.349,0,4.864000000000001,4.148999999999999,3.773,3.9499999999999997,2.6489999999999996,3.4479999999999995,4.131,3.826,6.3180000000000005,2.9350000000000005,4.028,5.254,4.994999999999999,3.7669999999999995,1.545,3.5479999999999996,3.9029999999999996,4.0520000000000005,3.8549999999999995,3.6119999999999997,4.24,2.1460000000000004,4.3660000000000005,4.095999999999999,4.35,4.164999999999999,2.7840000000000003,2.6590000000000003,1.548,3.85,1.46,2.4539999999999997,3.9479999999999995,2.7819999999999996,3.8229999999999995,1.8319999999999999,4.085,1.6560000000000001,3.7319999999999998,1.0739999999999998,3.674,1.4459999999999997,3.142,5.162000000000001,2.701,1.113,5.659999999999999,7.482000000000001,3.6029999999999998,4.952,2.514,3.3379999999999996,4.384,1.9360000000000002,3.9629999999999996,3.913,0.46299999999999997,3.8169999999999997,5.249,4.058999999999999,3.9369999999999994,1.894,0.427,3.9,2.877,2.211,3.815,2.1959999999999997,3.907,3.757,4.356999999999999,4.34,4.3629999999999995,1.2069999999999999,2.537,2.4879999999999995,4.368999999999999,3.9829999999999997,2.8160000000000003
N17,1.7269999999999999,1.543,1.622,1.966,1.779,2.221,1.5150000000000001,4.864000000000001,0,1.7009999999999998,1.6709999999999998,1.8459999999999999,2.909,2.11,2.063,1.7239999999999998,1.454,1.9700000000000002,1.5779999999999998,1.436,1.6949999999999998,1.9349999999999998,4.688999999999999,2.01,2.0709999999999997,0.812,1.751,1.9949999999999999,0.624,3.476,0.5,2.1780000000000004,2.421,1.897,2.4330000000000003,2.5580000000000003,4.691999999999999,1.396,4.603999999999999,2.8680000000000003,2.61,3.196,2.485,3.7259999999999995,1.975,3.208,1.63,5.3759999999999994,1.5719999999999998,5.747999999999999,1.7220000000000002,0.298,2.1630000000000003,3.7510000000000003,1.857,2.618,1.9549999999999998,0.8420000000000001,3.653,3.352,0.48,3.281,1.861,1.811,5.094999999999999,1.7149999999999999,1.139,1.791,1.6689999999999998,4.076,5.1309999999999985,1.632,3.806,3.377,1.547,3.3619999999999997,1.4529999999999998,1.4889999999999999,2.428,2.23,2.408,4.350999999999999,2.3270000000000004,6.168999999999999,2.423,1.873,2.073
N18,0.5139999999999999,0.158,0.916,0.265,0.56,1.515,0.823,4.149000000000001,1.7009999999999998,0,0.57,0.389,1.6500000000000001,0.8510000000000001,0.362,0.6170000000000001,3.155,1.278,0.123,2.383,2.642,0.532,3.43,0.7510000000000001,0.396,0.889,0.294,0.687,1.077,2.217,1.2029999999999998,0.477,0.7199999999999999,0.196,1.7180000000000002,1.8430000000000002,3.4330000000000003,0.305,3.345,2.153,1.1280000000000001,2.481,1.0030000000000001,2.467,0.27399999999999997,2.4930000000000003,0.417,4.117,0.475,4.489,1.0070000000000001,1.9989999999999999,1.4480000000000002,3.0360000000000005,2.804,4.319,0.7270000000000001,1.7889999999999997,2.9379999999999997,3.037,1.2209999999999999,2.427,0.47300000000000003,0.42799999999999994,3.8360000000000003,0.33199999999999996,2.086,0.09,0.212,2.817,3.8720000000000003,0.249,2.324,2.1180000000000003,0.334,2.103,0.248,0.392,0.7269999999999999,0.5289999999999999,0.7069999999999999,3.092,1.612,4.91,0.7219999999999999,0.172,1.367
