Source Node,Target Node,Shortest Path,Distance (km)
N32,N32,N32,0
N32,N43,N32 → N43,0.584
N32,N15,N32 → N15,0.703
N32,N8,N32 → N43 → N8,0.677
N32,N79,N32 → N43 → N79,0.641
N32,N77,N32 → N43 → N79 → N77,0.735
N32,N10,N32 → N43 → N79 → N10,0.731
N32,N53,N32 → N43 → N8 → N53,0.76
N32,N11,N32 → N15 → N11,0.81
N32,N74,N32 → N43 → N79 → N77 → N74,0.82
N32,N26,N32 → N43 → N79 → N10 → N26,0.766
N32,N51,N32 → N43 → N79 → N77 → N51,0.818
N32,N19,N32 → N43 → N8 → N53 → N19,0.859
N32,N71,N32 → N43 → N79 → N77 → N74 → N71,0.857
N32,N18,N32 → N43 → N79 → N10 → N26 → N18,0.889
N32,N55,N32 → N15 → N11 → N55,0.91
N32,N69,N32 → N43 → N79 → N77 → N51 → N69,0.903
N32,N1,N32 → N43 → N8 → N53 → N19 → N1,0.915
N32,N70,N32 → N43 → N79 → N77 → N74 → N71 → N70,0.979
N32,N33,N32 → N43 → N79 → N77 → N74 → N71 → N33,0.939
N32,N23,N32 → N43 → N8 → N53 → N19 → N23,0.912
N32,N67,N32 → N43 → N79 → N77 → N51 → N69 → N67,0.999
N32,N13,N32 → N43 → N8 → N53 → N19 → N1 → N13,0.967
N32,N60,N32 → N43 → N8 → N53 → N19 → N23 → N60,1.143
N32,N2,N32 → N43 → N79 → N77 → N74 → N71 → N33 → N2,1.034
N32,N87,N32 → N43 → N79 → N77 → N74 → N71 → N70 → N87,1.061
N32,N66,N32 → N43 → N79 → N77 → N51 → N69 → N67 → N66,1.049
N32,N29,N32 → N43 → N8 → N53 → N19 → N1 → N13 → N29,1.123
N32,N4,N32 → N43 → N79 → N77 → N74 → N71 → N70 → N4,1.085
N32,N12,N32 → N43 → N79 → N77 → N74 → N71 → N70 → N87 → N12,1.154
N32,N5,N32 → N43 → N79 → N77 → N74 → N71 → N70 → N87 → N5,1.163
N32,N81,N32 → N43 → N79 → N77 → N74 → N71 → N70 → N87 → N5 → N81,1.418
N32,N34,N32 → N43 → N8 → N53 → N19 → N23 → N60 → N34,1.183
N32,N30,N32 → N43 → N8 → N53 → N19 → N23 → N60 → N30,1.198
N32,N31,N32 → N43 → N79 → N77 → N74 → N71 → N70 → N87 → N12 → N31,1.285
N32,N22,N32 → N43 → N79 → N77 → N74 → N71 → N70 → N87 → N12 → N22,1.251
N32,N21,N32 → N43 → N8 → N53 → N19 → N23 → N60 → N30 → N21,1.298
N32,N38,N32 → N43 → N79 → N77 → N74 → N71 → N70 → N87 → N12 → N22 → N38,1.366
N32,N20,N32 → N43 → N8 → N53 → N19 → N23 → N60 → N30 → N21 → N20,2.097
N32,N48,N32 → N43 → N8 → N53 → N19 → N23 → N60 → N30 → N21 → N48,1.673
N32,N39,N32 → N43 → N79 → N77 → N74 → N71 → N70 → N87 → N5 → N81 → N82 → N39,1.609
N32,N86,N32 → N43 → N79 → N77 → N74 → N71 → N70 → N87 → N5 → N81 → N82 → N86,1.611
N32,N82,N32 → N43 → N79 → N77 → N74 → N71 → N70 → N87 → N5 → N81 → N82,1.596
N32,N80,N32 → N43 → N79 → N77 → N74 → N71 → N70 → N87 → N5 → N81 → N82 → N39 → N80,1.616
N32,N46,N32 → N43 → N8 → N53 → N19 → N23 → N60 → N30 → N21 → N48 → N46,1.798
N32,N75,N32 → N43 → N8 → N53 → N19 → N23 → N60 → N30 → N21 → N48 → N46 → N75,2.994
N32,N78,N32 → N43 → N8 → N53 → N19 → N23 → N60 → N30 → N21 → N20 → N78,2.55
N32,N76,N32 → N43 → N8 → N53 → N19 → N23 → N60 → N30 → N21 → N20 → N78 → N76,2.565
N32,N49,N32 → N43 → N8 → N53 → N19 → N23 → N60 → N30 → N21 → N20 → N78 → N49,2.914
N32,N72,N32 → N43 → N8 → N53 → N19 → N23 → N60 → N30 → N21 → N20 → N78 → N76 → N72,3.264
N32,N83,N32 → N43 → N8 → N53 → N19 → N23 → N60 → N30 → N21 → N20 → N78 → N49 → N83,3.539
N32,N44,N32 → N43 → N8 → N53 → N19 → N23 → N60 → N30 → N21 → N20 → N78 → N49 → N83 → N44,3.792
N32,N3,N32 → N43 → N8 → N53 → N19 → N23 → N60 → N30 → N21 → N20 → N78 → N49 → N83 → N44 → N3,3.877
N32,N42,N32 → N43 → N8 → N53 → N19 → N23 → N60 → N30 → N21 → N20 → N78 → N49 → N83 → N44 → N42,3.88
N32,N85,N32 → N43 → N8 → N53 → N19 → N23 → N60 → N30 → N21 → N20 → N78 → N49 → N83 → N44 → N3 → N85,5.357
N32,N52,N32 → N43 → N8 → N53 → N19 → N23 → N60 → N30 → N21 → N20 → N78 → N49 → N83 → N44 → N42 → N52,4.564
N32,N54,N32 → N43 → N8 → N53 → N19 → N23 → N60 → N30 → N21 → N20 → N78 → N49 → N83 → N44 → N42 → N52 → N54,4.936
N43,N43,N43,0
N43,N8,N43 → N8,0.093
N43,N79,N43 → N79,0.057
N43,N77,N43 → N79 → N77,0.151
N43,N10,N43 → N79 → N10,0.147
N43,N53,N43 → N8 → N53,0.176
N43,N74,N43 → N79 → N77 → N74,0.236
N43,N26,N43 → N79 → N10 → N26,0.182
N43,N51,N43 → N79 → N77 → N51,0.234
N43,N19,N43 → N8 → N53 → N19,0.275
N43,N71,N43 → N79 → N77 → N74 → N71,0.273
N43,N18,N43 → N79 → N10 → N26 → N18,0.305
N43,N69,N43 → N79 → N77 → N51 → N69,0.319
N43,N1,N43 → N8 → N53 → N19 → N1,0.331
N43,N70,N43 → N79 → N77 → N74 → N71 → N70,0.395
N43,N33,N43 → N79 → N77 → N74 → N71 → N33,0.355
N43,N23,N43 → N8 → N53 → N19 → N23,0.328
N43,N67,N43 → N79 → N77 → N51 → N69 → N67,0.415
N43,N13,N43 → N8 → N53 → N19 → N1 → N13,0.383
N43,N55,N43 → N8 → N53 → N19 → N23 → N55,1.931
N43,N60,N43 → N8 → N53 → N19 → N23 → N60,0.559
N43,N2,N43 → N79 → N77 → N74 → N71 → N33 → N2,0.45
N43,N87,N43 → N79 → N77 → N74 → N71 → N70 → N87,0.477
N43,N66,N43 → N79 → N77 → N51 → N69 → N67 → N66,0.465
N43,N29,N43 → N8 → N53 → N19 → N1 → N13 → N29,0.539
N43,N4,N43 → N79 → N77 → N74 → N71 → N70 → N4,0.501
N43,N12,N43 → N79 → N77 → N74 → N71 → N70 → N87 → N12,0.57
N43,N5,N43 → N79 → N77 → N74 → N71 → N70 → N87 → N5,0.579
N43,N81,N43 → N79 → N77 → N74 → N71 → N70 → N87 → N5 → N81,0.834
N43,N34,N43 → N8 → N53 → N19 → N23 → N60 → N34,0.599
N43,N30,N43 → N8 → N53 → N19 → N23 → N60 → N30,0.614
N43,N31,N43 → N79 → N77 → N74 → N71 → N70 → N87 → N12 → N31,0.701
N43,N22,N43 → N79 → N77 → N74 → N71 → N70 → N87 → N12 → N22,0.667
N43,N21,N43 → N8 → N53 → N19 → N23 → N60 → N30 → N21,0.714
N43,N38,N43 → N79 → N77 → N74 → N71 → N70 → N87 → N12 → N22 → N38,0.782
N43,N20,N43 → N8 → N53 → N19 → N23 → N60 → N30 → N21 → N20,1.513
N43,N48,N43 → N8 → N53 → N19 → N23 → N60 → N30 → N21 → N48,1.089
N43,N39,N43 → N79 → N77 → N74 → N71 → N70 → N87 → N5 → N81 → N82 → N39,1.025
N43,N86,N43 → N79 → N77 → N74 → N71 → N70 → N87 → N5 → N81 → N82 → N86,1.027
N43,N82,N43 → N79 → N77 → N74 → N71 → N70 → N87 → N5 → N81 → N82,1.012
N43,N80,N43 → N79 → N77 → N74 → N71 → N70 → N87 → N5 → N81 → N82 → N39 → N80,1.032
N43,N46,N43 → N8 → N53 → N19 → N23 → N60 → N30 → N21 → N48 → N46,1.214
N43,N75,N43 → N8 → N53 → N19 → N23 → N60 → N30 → N21 → N48 → N46 → N75,2.41
N43,N78,N43 → N8 → N53 → N19 → N23 → N60 → N30 → N21 → N20 → N78,1.966
N43,N76,N43 → N8 → N53 → N19 → N23 → N60 → N30 → N21 → N20 → N78 → N76,1.981
N43,N49,N43 → N8 → N53 → N19 → N23 → N60 → N30 → N21 → N20 → N78 → N49,2.33
N43,N72,N43 → N8 → N53 → N19 → N23 → N60 → N30 → N21 → N20 → N78 → N76 → N72,2.68
N43,N83,N43 → N8 → N53 → N19 → N23 → N60 → N30 → N21 → N20 → N78 → N49 → N83,2.955
N43,N44,N43 → N8 → N53 → N19 → N23 → N60 → N30 → N21 → N20 → N78 → N49 → N83 → N44,3.208
N43,N3,N43 → N8 → N53 → N19 → N23 → N60 → N30 → N21 → N20 → N78 → N49 → N83 → N44 → N3,3.293
N43,N42,N43 → N8 → N53 → N19 → N23 → N60 → N30 → N21 → N20 → N78 → N49 → N83 → N44 → N42,3.296
N43,N85,N43 → N8 → N53 → N19 → N23 → N60 → N30 → N21 → N20 → N78 → N49 → N83 → N44 → N3 → N85,4.773
N43,N52,N43 → N8 → N53 → N19 → N23 → N60 → N30 → N21 → N20 → N78 → N49 → N83 → N44 → N42 → N52,3.98
N43,N54,N43 → N8 → N53 → N19 → N23 → N60 → N30 → N21 → N20 → N78 → N49 → N83 → N44 → N42 → N52 → N54,4.352
N15,N15,N15,0
N15,N11,N15 → N11,0.107
N15,N43,N15 → N43,0.518
N15,N55,N15 → N11 → N55,0.207
N15,N8,N15 → N43 → N8,0.611
N15,N53,N15 → N43 → N8 → N53,0.694
N15,N79,N15 → N43 → N79,0.575
N15,N77,N15 → N43 → N79 → N77,0.669
N15,N10,N15 → N43 → N79 → N10,0.665
N15,N74,N15 → N43 → N79 → N77 → N74,0.754
